WF_Type,Func_Num,Exec_Time
j_49,3,287
j_49,1,0
j_49,1,52
j_49,3,287
j_49,1,1
j_49,1,1
j_49,1,0
j_66,1,4
j_66,1,24
j_66,4,13
j_79,3,5
j_79,3,5
j_79,1,1
j_79,1,1
j_79,1,3
j_79,1,1
j_79,7,6
j_79,1,2
j_230,1,1
j_230,3,3
j_230,1,2
j_230,7,6
j_230,1,3
j_230,1,4
j_230,1,2
j_230,1,5
j_230,5,6
j_293,3,1
j_293,1,1
j_293,1,1
j_293,7,1
j_293,1,1
j_293,1,1
j_293,1,1
j_293,3,1
j_293,1,1
j_783,7,32
j_783,1,165
j_783,7,49
j_783,9,256
j_783,9,255
j_783,1,85
j_783,6,21
j_783,1,242
j_783,9,256
