0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
1,0,1.6715,1.4735,0.4967,0.6451,1.5954,0.8893,0.3428,0.8677,0.5162,0.3652,1.7129,0.3056,0.3668,0.5434,0.8914,0.7258,0.6543,1.4037,0.5794,1.6352,1.1599,1.7244,1.2443,1.1282,0.6326,1.6829,0.9574,0.5215,0.9048,1.4067,0.9381,0.7255,1.8296,1.3638,0.7356,0.6695,0.6978,0.6954,0.9832,0.8023,0.8409,0.7897,1.1159,0.9166,0.3293,0.5003,1.719,0.205,1.7296,0.5263,1.5815,1.1613,0.4235,1.2152,0.4409,0.7245,0.4117,1.1037,1.4222,1.1711,1.049,1.2025,1.2563,1.4737,1.6469,1.2439,0.811,0.9862,1.1965,0.4587,1.113,1.6715,1.7077,1.8119,0.7104,0.8406,1.4314,0.6396,0.9581,1.8309,0.663,0.6554,0.2595,0.3502,1.8131,1.8447,0.5087,0.5182,0.9711,0.5595,1.9239,1.8065,0.795,0.5808,0.2105,0.8063,0.464,0.954,1.4895,1.728,1.8483,1.663,1.0132,1.1051,1.8216,0.8475,1.6962,1.6875,0.7503,0.9669,1.1597,0.6836,0.2103,1.621,1.6204,0.453,0.7514,0.8955,1.1121,0.5115,1.045,0.7997,0.2314
2,1.6715,0,0.5198,1.4071,1.177,0.4181,0.8259,1.4251,0.8978,1.3838,1.6165,0.2147,1.4043,1.3212,1.4126,0.9515,1.1809,1.0263,0.2841,1.3678,0.0524,0.5596,0.2226,0.53,0.8518,1.1919,0.2812,0.8121,1.4596,0.9365,0.2648,0.7773,0.9725,0.2138,0.3932,0.9511,1.7001,1.4768,0.9979,0.7454,1.2786,0.975,1.128,0.7503,0.7888,1.4549,1.303,0.4089,1.4745,0.2229,1.2199,0.3808,0.5187,1.2941,0.4841,1.2363,1.0143,1.4685,0.8534,0.2494,0.5476,0.7266,0.4703,0.5164,0.3129,0.0464,0.584,1.2563,0.8621,0.7015,1.284,0.6329,0.1291,0.2712,0.3498,0.9894,0.9339,0.3934,1.1969,0.7199,0.3758,1.6657,1.1794,1.6851,1.5027,0.1567,0.2343,1.1975,1.4362,0.7105,1.1539,0.4204,0.3698,1.1162,1.1569,1.4611,0.9429,1.3031,0.8585,0.3578,0.3393,0.1956,0.2028,0.7671,0.7435,0.1701,0.955,0.1357,0.2124,0.9809,0.7167,0.512,1.3521,1.493,0.4254,0.2632,1.6697,1.0646,0.8145,0.7051,1.175,0.7436,1.0384,1.6121
3,1.4735,0.5198,0,1.0889,1.1664,0.8559,0.5931,1.3208,0.6066,1.0634,1.3137,0.3761,1.1724,1.107,1.0773,0.6046,0.8282,0.9236,0.5326,1.0279,0.5353,0.6851,0.3808,0.2592,0.4123,0.8797,0.3036,0.8844,1.1246,0.5892,0.4455,0.8018,0.9132,0.5126,0.6688,0.7553,1.3168,1.0886,0.9253,0.7995,0.8778,0.6481,0.7629,0.9256,0.5747,1.3509,1.2469,0.2678,1.3057,0.7336,0.9557,0.1622,0.5783,1.0531,0.3659,1.092,0.7494,1.1684,0.426,0.4415,0.6784,0.4255,0.4634,0.2528,0.225,0.5419,0.2334,0.8556,0.9768,0.9212,1.1973,0.7574,0.4112,0.7701,0.8645,0.9287,0.6358,0.159,0.8791,0.5837,0.8911,1.2832,0.8606,1.5658,1.4137,0.6572,0.5156,0.9648,1.1055,0.5635,0.9141,0.4933,0.3775,0.7523,0.8963,1.2735,0.6675,1.227,0.5258,0.1664,0.8363,0.693,0.6928,0.8674,0.9094,0.6728,0.6361,0.4233,0.3566,0.7232,0.5618,0.5182,0.9795,1.2688,0.1665,0.7263,1.3412,1.0848,0.8185,0.3616,0.9663,0.4285,0.7031,1.487
4,0.4967,1.4071,1.0889,0,0.761,1.4547,0.5827,0.604,0.512,0.0256,0.2252,1.3926,0.2501,0.2877,0.0526,0.4853,0.2655,0.5729,1.1808,0.083,1.3826,1.0047,1.4026,0.9046,0.6966,0.2165,1.3458,0.8973,0.069,0.501,1.1544,0.831,0.6596,1.5237,1.192,0.4909,0.3505,0.2335,0.6316,0.8783,0.3068,0.4465,0.3336,1.0684,0.6215,0.6183,0.6843,1.3525,0.4515,1.5219,0.2181,1.2234,0.9588,0.225,0.9231,0.4582,0.3958,0.0902,0.6759,1.1676,1.013,0.6953,0.9527,0.9183,1.1493,1.3942,0.8802,0.3174,0.9726,1.1391,0.6029,0.9902,1.3727,1.5165,1.6288,0.6537,0.4765,1.0892,0.2136,0.7089,1.6522,0.3215,0.232,0.7129,0.6824,1.5613,1.5352,0.2812,0.0449,0.7119,0.2971,1.5729,1.454,0.3426,0.2707,0.3942,0.4642,0.6344,0.5711,1.1475,1.5544,1.5995,1.4556,0.9441,1.0512,1.5728,0.4627,1.3958,1.3673,0.4296,0.7035,0.9294,0.1871,0.3083,1.2506,1.432,0.2626,0.8095,0.7936,0.7405,0.3343,0.6832,0.3872,0.6485
5,0.6451,1.177,1.1664,0.761,0,1.0004,0.6255,0.3086,0.685,0.7575,0.8303,1.281,0.5513,0.4805,0.8076,0.7753,0.7856,0.2783,0.8929,0.8021,1.1312,0.6185,1.2935,0.9072,0.9785,0.6884,1.2767,0.3708,0.8277,0.779,0.9271,0.4022,0.2559,1.3698,0.8095,0.4901,1.0972,0.9832,0.2511,0.4316,0.9377,0.7304,0.8096,0.4978,0.6234,0.3307,0.1506,1.3525,0.4532,1.1765,0.5782,1.217,0.668,0.536,0.818,0.3038,0.5959,0.7425,0.9528,0.9431,0.6306,0.7867,0.7547,0.9141,1.0743,1.1419,0.9437,0.93,0.3619,0.5773,0.1909,0.5502,1.2162,1.1425,1.2353,0.242,0.6846,1.0635,0.7025,0.5841,1.2504,1.0731,0.7028,0.5459,0.3531,1.2952,1.3882,0.5033,0.8056,0.605,0.5198,1.5168,1.411,0.8054,0.5668,0.4821,0.639,0.1811,0.7731,1.1129,1.1487,1.3252,1.1139,0.4229,0.4916,1.3001,0.7186,1.2408,1.2578,0.5918,0.608,0.6982,0.884,0.5775,1.2711,1.0585,0.9277,0.1199,0.3695,0.8581,0.4488,0.7968,0.7392,0.4877
6,1.5954,0.4181,0.8559,1.4547,1.0004,0,0.8981,1.2938,0.9957,1.4354,1.6338,0.6306,1.3787,1.2898,1.4748,1.0813,1.2819,0.9492,0.3433,1.4382,0.3721,0.4522,0.6395,0.7446,1.071,1.2573,0.689,0.6415,1.5176,1.0693,0.4221,0.6597,0.8714,0.6157,0.267,0.9638,1.7875,1.583,0.9021,0.6133,1.4129,1.085,1.2462,0.505,0.858,1.3204,1.1465,0.817,1.3904,0.2482,1.242,0.7561,0.502,1.288,0.6333,1.1585,1.0684,1.4948,1.0628,0.4214,0.443,0.8766,0.5478,0.7349,0.6317,0.3736,0.8163,1.3924,0.6404,0.4291,1.1541,0.4844,0.5413,0.1904,0.2455,0.8858,1.0293,0.7,1.2664,0.7548,0.2552,1.7542,1.2519,1.5446,1.3522,0.4234,0.6354,1.1967,1.4923,0.7572,1.1651,0.8326,0.7878,1.2348,1.1846,1.3933,1.0191,1.1623,0.996,0.6929,0.1613,0.4326,0.2235,0.5858,0.5093,0.418,1.0623,0.5525,0.6244,1.0356,0.767,0.5465,1.4534,1.4526,0.8113,0.1554,1.7066,0.8806,0.7023,0.8898,1.1579,0.898,1.1443,1.4813
7,0.8893,0.8259,0.5931,0.5827,0.6255,0.8981,0,0.7317,0.1038,0.5602,0.7907,0.8316,0.5972,0.5232,0.5925,0.2063,0.3838,0.3538,0.6014,0.5508,0.8002,0.4701,0.8426,0.355,0.3561,0.3705,0.796,0.4835,0.6385,0.2002,0.5716,0.3873,0.3748,0.956,0.6312,0.1626,0.8955,0.6854,0.3746,0.42,0.5193,0.1928,0.3509,0.6214,0.0404,0.7614,0.6752,0.8301,0.7139,0.9417,0.3966,0.6923,0.3965,0.4804,0.3435,0.5,0.1883,0.6426,0.3312,0.5848,0.4751,0.1719,0.3717,0.367,0.5889,0.8118,0.3599,0.5,0.5867,0.6694,0.616,0.4856,0.8007,0.9399,1.0528,0.3861,0.1333,0.5424,0.3773,0.1477,1.0771,0.8617,0.361,0.973,0.8263,0.9793,0.9693,0.3858,0.6142,0.1415,0.3375,1.0353,0.9176,0.3399,0.3334,0.6846,0.1224,0.6483,0.1587,0.6008,0.9821,1.0173,0.876,0.505,0.6014,0.9906,0.1702,0.8247,0.806,0.155,0.1315,0.3552,0.5558,0.6916,0.7332,0.8572,0.8449,0.5775,0.3726,0.2432,0.3779,0.1765,0.2478,0.8941
8,0.3428,1.4251,1.3208,0.604,0.3086,1.2938,0.7317,0,0.7504,0.6106,0.5969,1.4999,0.3554,0.3289,0.6563,0.8121,0.731,0.4081,1.1453,0.6694,1.3834,0.8817,1.512,1.0695,1.0457,0.624,1.4829,0.653,0.6596,0.8213,1.1643,0.6555,0.4526,1.6033,1.0825,0.5698,0.8947,0.8373,0.428,0.6953,0.8589,0.7603,0.7778,0.7983,0.7464,0.0305,0.1594,1.5402,0.1785,1.4523,0.496,1.4014,0.9064,0.4077,1.0092,0.2354,0.6204,0.5533,1.0194,1.1803,0.8936,0.9035,0.971,1.0793,1.2735,1.3947,1.0879,0.8586,0.6641,0.8788,0.1422,0.8234,1.4457,1.4236,1.5219,0.4357,0.7351,1.2464,0.6364,0.7511,1.5388,0.8771,0.6449,0.26,0.0966,1.5556,1.6203,0.4354,0.6436,0.7688,0.4774,1.7265,1.6138,0.7782,0.5198,0.2283,0.6911,0.132,0.8447,1.3013,1.4361,1.5882,1.3874,0.7083,0.7899,1.5622,0.7574,1.4707,1.4753,0.6332,0.7679,0.9201,0.7698,0.3344,1.4492,1.3375,0.6974,0.4225,0.6151,0.9742,0.4004,0.9065,0.7429,0.189
9,0.8677,0.8978,0.6066,0.512,0.685,0.9957,0.1038,0.7504,0,0.4879,0.729,0.8827,0.5658,0.5022,0.5149,0.1051,0.2899,0.4069,0.6894,0.47,0.8761,0.5731,0.893,0.3953,0.2992,0.2955,0.8395,0.5808,0.5621,0.102,0.6519,0.486,0.4454,1.0124,0.7289,0.1958,0.8079,0.5921,0.4392,0.5209,0.418,0.0899,0.2505,0.7233,0.1412,0.779,0.7151,0.8589,0.7075,1.0272,0.3506,0.7244,0.4956,0.4466,0.4144,0.5151,0.1432,0.5805,0.2728,0.664,0.5778,0.1874,0.4596,0.4087,0.6389,0.8875,0.3808,0.3982,0.6827,0.7728,0.6481,0.5894,0.8607,1.0288,1.1419,0.4541,0.0361,0.5825,0.2996,0.2509,1.1667,0.7737,0.2818,0.9782,0.8467,1.0532,1.0243,0.3593,0.539,0.2429,0.3083,1.0728,0.954,0.2392,0.29,0.6712,0.0619,0.6825,0.0943,0.6413,1.0737,1.0917,0.9625,0.6053,0.7034,1.0653,0.0671,0.8839,0.8572,0.1201,0.2326,0.45,0.4633,0.6623,0.7587,0.9479,0.7743,0.6512,0.4679,0.245,0.3667,0.1795,0.1489,0.8994
10,0.5162,1.3838,1.0634,0.0256,0.7575,1.4354,0.5602,0.6106,0.4879,0,0.2508,1.3679,0.2595,0.2895,0.0502,0.4599,0.24,0.5618,1.1591,0.064,1.3597,0.9862,1.3779,0.88,0.671,0.1924,1.3208,0.8836,0.0829,0.4756,1.1318,0.8156,0.648,1.4993,1.1722,0.4722,0.3634,0.2297,0.6205,0.8627,0.2862,0.4215,0.3081,1.0544,0.5991,0.626,0.6854,1.3271,0.4626,1.5002,0.2036,1.1982,0.9385,0.2221,0.8997,0.456,0.3739,0.1141,0.6503,1.1449,0.9944,0.6707,0.9307,0.8937,1.1248,1.3712,0.8551,0.2958,0.9606,1.1243,0.6036,0.9732,1.3485,1.4954,1.6078,0.6426,0.4523,1.0643,0.1889,0.688,1.6313,0.3333,0.2072,0.7277,0.6911,1.5382,1.5107,0.2703,0.0573,0.6905,0.2822,1.5476,1.4287,0.317,0.2531,0.4055,0.441,0.6358,0.546,1.1226,1.5338,1.5765,1.434,0.9297,1.037,1.5498,0.4379,1.3715,1.3426,0.4077,0.682,0.9082,0.1698,0.3236,1.2252,1.411,0.2864,0.8024,0.7787,0.7154,0.3244,0.6584,0.3619,0.6619
