WF_Type,Task_id,Predecessor,Successor
j_49,1,,2 
j_49,3,,4 
j_49,2,1 ,6 
j_49,4,3 ,5 
j_49,5,4 ,6 
j_49,6,2 5 ,7 
j_49,7,6 ,
j_66,1,,3 
j_66,2,,3 
j_66,3,1 2 ,
j_79,5,,7 2 1 3 
j_79,6,,7 
j_79,7,5 6 ,8 
j_79,2,5 ,4 
j_79,1,5 ,4 
j_79,3,5 ,4 
j_79,4,1 2 3 ,8 
j_79,8,4 7 ,
j_230,6,,7 
j_230,5,,8 
j_230,2,,4 
j_230,3,,4 
j_230,1,,9 
j_230,4,2 3 ,8 
j_230,7,6 ,8 
j_230,8,4 5 7 ,9 
j_230,9,1 8 ,
j_293,1,,3 
j_293,2,,3 
j_293,4,,6 
j_293,5,,6 
j_293,3,1 2 ,7 
j_293,6,4 5 ,7 
j_293,7,3 6 ,8 
j_293,8,7 ,9 
j_293,9,8 ,
j_783,1,,2 
j_783,4,,5 
j_783,5,4 ,6 
j_783,2,1 ,3 
j_783,3,2 ,7 
j_783,6,5 ,7 
j_783,7,3 6 ,8 
j_783,8,7 ,9 
j_783,9,8 ,
