wf_id,start_time,finish_time,exec_time,wf_type
25,0,27,27,j_66
27,0,27,27,j_66
34,0,27,27,j_66
37,0,27,27,j_66
40,0,27,27,j_66
15,0,28,28,j_66
45,0,28,28,j_66
89,1,28,27,j_66
5,0,29,29,j_66
54,1,29,28,j_66
74,1,29,28,j_66
24,0,30,30,j_66
119,2,30,28,j_66
171,3,30,27,j_66
176,3,30,27,j_66
178,3,30,27,j_66
23,0,31,31,j_66
213,4,31,27,j_66
215,4,31,27,j_66
104,2,32,30,j_66
163,3,32,29,j_66
96,2,33,31,j_66
65,1,33,32,j_66
66,1,33,32,j_66
219,4,33,29,j_66
222,4,33,29,j_66
227,4,33,29,j_66
141,2,33,31,j_66
110,2,34,32,j_66
114,2,34,32,j_66
0,0,35,35,j_66
326,6,35,29,j_66
136,2,35,33,j_66
137,2,35,33,j_66
138,2,35,33,j_66
338,6,35,29,j_66
150,2,35,33,j_66
165,3,36,33,j_66
166,3,36,33,j_66
184,3,36,33,j_66
196,4,37,33,j_66
423,8,37,29,j_66
231,4,37,33,j_66
430,8,37,29,j_66
435,8,37,29,j_66
235,4,37,33,j_66
236,4,37,33,j_66
243,4,37,33,j_66
244,4,37,33,j_66
248,5,38,33,j_66
252,5,38,33,j_66
261,5,38,33,j_66
281,5,38,33,j_66
284,5,38,33,j_66
299,6,39,33,j_66
309,6,39,33,j_66
310,6,39,33,j_66
212,4,39,35,j_293
216,4,39,35,j_293
28,0,39,39,j_293
342,6,39,33,j_66
357,7,40,33,j_66
360,7,40,33,j_66
364,7,40,33,j_66
117,2,40,38,j_293
121,2,40,38,j_293
264,5,40,35,j_293
265,5,40,35,j_293
381,7,40,33,j_66
383,7,40,33,j_66
384,7,40,33,j_66
388,7,40,33,j_66
397,7,40,33,j_66
398,7,40,33,j_66
405,8,41,33,j_66
414,8,41,33,j_66
124,2,41,39,j_293
436,8,41,33,j_66
449,9,42,33,j_66
457,9,42,33,j_66
458,9,42,33,j_66
460,9,42,33,j_66
467,9,42,33,j_66
471,9,42,33,j_66
478,9,42,33,j_66
479,9,42,33,j_66
481,9,42,33,j_66
489,9,42,33,j_66
491,9,42,33,j_66
494,9,42,33,j_66
506,9,42,33,j_66
63,1,43,42,j_293
64,1,43,42,j_79
420,8,43,35,j_293
68,1,43,42,j_293
69,1,43,42,j_293
82,1,43,42,j_293
131,2,44,42,j_293
132,2,46,44,j_293
321,6,47,41,j_293
173,3,48,45,j_293
122,2,49,47,j_79
320,6,49,43,j_293
26,0,50,50,j_79
172,3,50,47,j_79
210,4,51,47,j_79
71,1,51,50,j_79
174,3,53,50,j_79
327,6,53,47,j_79
52,1,54,53,j_293
53,1,54,53,j_293
379,7,54,47,j_79
419,8,55,47,j_79
75,1,55,54,j_293
33,0,55,55,j_293
39,0,55,55,j_293
87,1,55,54,j_79
438,8,55,47,j_79
275,5,56,51,j_79
483,9,56,47,j_79
83,1,56,55,j_293
498,9,56,47,j_79
500,9,56,47,j_79
41,0,56,56,j_79
6,0,57,57,j_293
103,2,57,55,j_79
105,2,57,55,j_79
201,4,57,53,j_79
322,6,57,51,j_79
323,6,57,51,j_293
426,8,57,49,j_79
180,3,57,54,j_79
340,6,57,51,j_79
428,8,57,49,j_79
237,4,57,53,j_79
43,0,57,57,j_293
47,0,57,57,j_293
97,2,58,56,j_293
55,1,58,57,j_79
130,2,58,56,j_79
177,3,58,55,j_293
139,2,58,56,j_79
279,5,58,53,j_79
283,5,58,53,j_79
84,1,58,57,j_79
155,2,58,56,j_79
191,3,58,55,j_79
1,0,59,59,j_293
306,6,59,53,j_79
220,4,59,55,j_79
324,6,59,53,j_79
325,6,59,53,j_79
341,6,59,53,j_79
346,6,59,53,j_79
242,4,59,55,j_79
192,4,60,56,j_79
195,4,60,56,j_79
8,0,60,60,j_79
17,0,60,60,j_293
112,2,60,58,j_79
207,4,60,56,j_79
208,4,60,56,j_79
263,5,60,55,j_79
246,5,61,56,j_79
401,8,61,53,j_79
407,8,61,53,j_79
56,1,61,60,j_293
57,1,61,60,j_293
307,6,61,55,j_79
143,2,61,59,j_293
349,6,61,55,j_79
352,6,61,55,j_79
157,3,62,59,j_293
158,3,62,59,j_293
305,6,62,56,j_79
452,9,62,53,j_79
362,7,62,55,j_79
315,6,62,56,j_79
318,6,62,56,j_79
127,2,62,60,j_230
487,9,62,53,j_79
488,9,62,53,j_79
490,9,62,53,j_79
185,3,62,59,j_293
194,4,63,59,j_293
408,8,63,55,j_79
410,8,63,55,j_79
412,8,63,55,j_79
366,7,63,56,j_79
367,7,63,56,j_79
369,7,63,56,j_79
232,4,63,59,j_293
234,4,63,59,j_293
148,2,63,61,j_293
151,2,63,61,j_293
442,8,63,55,j_79
444,8,63,55,j_79
445,8,63,55,j_79
109,2,64,62,j_293
464,9,64,55,j_79
272,5,64,59,j_293
331,6,64,58,j_230
334,6,64,58,j_230
285,5,64,59,j_293
286,5,64,59,j_293
189,3,64,61,j_293
300,6,65,59,j_293
302,6,65,59,j_293
304,6,65,59,j_293
453,9,65,56,j_79
454,9,65,56,j_79
470,9,65,56,j_79
336,6,65,59,j_293
339,6,65,59,j_293
11,0,66,66,j_293
129,2,66,64,j_293
276,5,66,61,j_293
382,7,66,59,j_293
249,5,67,62,j_293
251,5,67,62,j_293
240,4,67,63,j_293
241,4,67,63,j_293
164,3,69,66,j_293
206,4,69,65,j_293
36,0,69,69,j_79
81,1,69,68,j_230
86,1,69,68,j_230
116,2,70,68,j_293
168,3,70,67,j_293
169,3,70,67,j_293
170,3,70,67,j_293
332,6,70,64,j_230
80,1,70,69,j_79
140,2,70,68,j_230
111,2,71,69,j_293
374,7,71,64,j_293
345,6,71,65,j_293
348,6,71,65,j_293
4,0,72,72,j_79
256,5,72,67,j_293
260,5,72,67,j_293
224,4,72,68,j_230
42,0,72,72,j_79
294,5,72,67,j_293
296,5,72,67,j_293
421,8,73,65,j_293
330,6,73,67,j_293
353,6,73,67,j_293
400,8,75,67,j_293
402,8,75,67,j_293
312,6,75,69,j_293
386,7,75,68,j_293
434,8,75,67,j_293
308,6,76,70,j_293
115,2,76,74,j_79
365,7,76,69,j_293
372,7,76,69,j_293
482,9,76,67,j_293
486,9,76,67,j_293
495,9,76,67,j_293
441,8,76,68,j_293
446,8,76,68,j_293
448,8,76,68,j_293
415,8,77,69,j_293
88,1,77,76,j_230
504,9,77,68,j_293
465,9,78,69,j_293
417,8,78,70,j_293
418,8,78,70,j_293
225,4,78,74,j_230
135,2,78,76,j_293
147,2,78,76,j_230
266,5,79,74,j_230
427,8,80,72,j_230
343,6,80,74,j_230
90,1,80,79,j_230
91,1,80,79,j_230
376,7,81,74,j_230
73,1,81,80,j_230
474,9,81,72,j_230
44,0,81,81,j_230
193,4,82,78,j_230
113,2,82,80,j_230
274,5,82,77,j_230
