wf_id,start_time,finish_time,exec_time,wf_type,edge_num,arrival_rate,func_exp_time,cloud_edge
284,0,9,9,j_293,20,15,20,50
592,1,10,9,j_293,20,15,20,50
593,1,10,9,j_293,20,15,20,50
191,0,11,11,j_293,20,15,20,50
194,0,11,11,j_293,20,15,20,50
277,0,11,11,j_293,20,15,20,50
857,2,11,9,j_293,20,15,20,50
864,2,11,9,j_293,20,15,20,50
391,1,12,11,j_293,20,15,20,50
396,1,12,11,j_293,20,15,20,50
1175,3,12,9,j_293,20,15,20,50
1189,3,12,9,j_293,20,15,20,50
6,0,13,13,j_293,20,15,20,50
10,0,13,13,j_293,20,15,20,50
16,0,13,13,j_293,20,15,20,50
113,0,13,13,j_293,20,15,20,50
148,0,13,13,j_293,20,15,20,50
150,0,13,13,j_293,20,15,20,50
480,1,13,12,j_293,20,15,20,50
485,1,13,12,j_293,20,15,20,50
488,1,13,12,j_293,20,15,20,50
491,1,13,12,j_293,20,15,20,50
300,1,14,13,j_293,20,15,20,50
306,1,14,13,j_293,20,15,20,50
34,0,14,14,j_293,20,15,20,50
35,0,14,14,j_293,20,15,20,50
37,0,14,14,j_293,20,15,20,50
117,0,14,14,j_293,20,15,20,50
118,0,14,14,j_293,20,15,20,50
122,0,14,14,j_293,20,15,20,50
454,1,14,13,j_293,20,15,20,50
157,0,14,14,j_293,20,15,20,50
159,0,14,14,j_293,20,15,20,50
166,0,14,14,j_293,20,15,20,50
463,1,14,13,j_293,20,15,20,50
464,1,14,13,j_293,20,15,20,50
466,1,14,13,j_293,20,15,20,50
563,1,14,13,j_293,20,15,20,50
574,1,14,13,j_293,20,15,20,50
575,1,14,13,j_293,20,15,20,50
696,2,15,13,j_293,20,15,20,50
697,2,15,13,j_293,20,15,20,50
701,2,15,13,j_293,20,15,20,50
418,1,15,14,j_293,20,15,20,50
171,0,15,15,j_293,20,15,20,50
179,0,15,15,j_293,20,15,20,50
197,0,15,15,j_293,20,15,20,50
200,0,15,15,j_293,20,15,20,50
211,0,15,15,j_293,20,15,20,50
214,0,15,15,j_293,20,15,20,50
599,2,16,14,j_293,20,15,20,50
606,2,16,14,j_293,20,15,20,50
318,1,16,15,j_293,20,15,20,50
619,2,16,14,j_293,20,15,20,50
690,2,16,14,j_293,20,15,20,50
694,2,16,14,j_293,20,15,20,50
398,1,16,15,j_293,20,15,20,50
404,1,16,15,j_293,20,15,20,50
406,1,16,15,j_293,20,15,20,50
408,1,16,15,j_293,20,15,20,50
129,0,16,16,j_293,20,15,20,50
130,0,16,16,j_293,20,15,20,50
496,1,16,15,j_293,20,15,20,50
499,1,16,15,j_293,20,15,20,50
507,1,16,15,j_293,20,15,20,50
510,1,16,15,j_293,20,15,20,50
850,2,16,14,j_293,20,15,20,50
851,2,16,14,j_293,20,15,20,50
624,2,17,15,j_293,20,15,20,50
628,2,17,15,j_293,20,15,20,50
914,3,17,14,j_293,20,15,20,50
61,0,17,17,j_293,20,15,20,50
69,0,17,17,j_293,20,15,20,50
76,0,17,17,j_293,20,15,20,50
88,0,17,17,j_293,20,15,20,50
970,3,17,14,j_293,20,15,20,50
978,3,17,14,j_293,20,15,20,50
979,3,17,14,j_293,20,15,20,50
980,3,17,14,j_293,20,15,20,50
985,3,17,14,j_293,20,15,20,50
987,3,17,14,j_293,20,15,20,50
997,3,17,14,j_293,20,15,20,50
1000,3,17,14,j_293,20,15,20,50
1002,3,17,14,j_293,20,15,20,50
1003,3,17,14,j_293,20,15,20,50
1006,3,17,14,j_293,20,15,20,50
1345,4,17,13,j_293,20,15,20,50
750,2,17,15,j_293,20,15,20,50
751,2,17,15,j_293,20,15,20,50
756,2,17,15,j_293,20,15,20,50
763,2,17,15,j_293,20,15,20,50
766,2,17,15,j_293,20,15,20,50
1062,3,17,14,j_293,20,15,20,50
1063,3,17,14,j_293,20,15,20,50
1064,3,17,14,j_293,20,15,20,50
1066,3,17,14,j_293,20,15,20,50
1682,5,17,12,j_293,20,15,20,50
1689,5,17,12,j_293,20,15,20,50
791,2,17,15,j_293,20,15,20,50
792,2,17,15,j_293,20,15,20,50
795,2,17,15,j_293,20,15,20,50
1108,3,17,14,j_293,20,15,20,50
524,1,17,16,j_293,20,15,20,50
529,1,17,16,j_293,20,15,20,50
531,1,17,16,j_293,20,15,20,50
533,1,17,16,j_293,20,15,20,50
538,1,17,16,j_293,20,15,20,50
2068,6,17,11,j_293,20,15,20,50
2070,6,17,11,j_293,20,15,20,50
2071,6,17,11,j_293,20,15,20,50
2072,6,17,11,j_293,20,15,20,50
18,0,18,18,j_293,20,15,20,50
22,0,18,18,j_293,20,15,20,50
23,0,18,18,j_293,20,15,20,50
25,0,18,18,j_293,20,15,20,50
363,1,18,17,j_293,20,15,20,50
367,1,18,17,j_293,20,15,20,50
369,1,18,17,j_293,20,15,20,50
372,1,18,17,j_293,20,15,20,50
379,1,18,17,j_293,20,15,20,50
381,1,18,17,j_293,20,15,20,50
382,1,18,17,j_293,20,15,20,50
708,2,18,16,j_293,20,15,20,50
709,2,18,16,j_293,20,15,20,50
711,2,18,16,j_293,20,15,20,50
718,2,18,16,j_293,20,15,20,50
719,2,18,16,j_293,20,15,20,50
725,2,18,16,j_293,20,15,20,50
740,2,18,16,j_293,20,15,20,50
741,2,18,16,j_293,20,15,20,50
742,2,18,16,j_293,20,15,20,50
1373,4,18,14,j_293,20,15,20,50
1387,4,18,14,j_293,20,15,20,50
1089,3,18,15,j_293,20,15,20,50
1096,3,18,15,j_293,20,15,20,50
1400,4,18,14,j_293,20,15,20,50
1401,4,18,14,j_293,20,15,20,50
1404,4,18,14,j_293,20,15,20,50
1406,4,18,14,j_293,20,15,20,50
1408,4,18,14,j_293,20,15,20,50
1411,4,18,14,j_293,20,15,20,50
217,0,18,18,j_293,20,15,20,50
226,0,18,18,j_293,20,15,20,50
241,0,18,18,j_293,20,15,20,50
242,0,18,18,j_293,20,15,20,50
1163,3,18,15,j_293,20,15,20,50
1224,4,19,15,j_293,20,15,20,50
1272,4,19,15,j_293,20,15,20,50
1278,4,19,15,j_293,20,15,20,50
1279,4,19,15,j_293,20,15,20,50
1284,4,19,15,j_293,20,15,20,50
