wf_id,start_time,finish_time,exec_time,wf_type,arrival_rate
64,0,9,9,j_293,5
65,0,9,9,j_293,5
79,0,9,9,j_293,5
190,1,10,9,j_293,5
195,1,10,9,j_293,5
282,2,11,9,j_293,5
295,2,11,9,j_293,5
383,3,12,9,j_293,5
394,3,12,9,j_293,5
398,3,12,9,j_293,5
493,4,13,9,j_293,5
497,4,13,9,j_293,5
70,0,13,13,j_293,5
504,4,13,9,j_293,5
146,1,14,13,j_293,5
151,1,14,13,j_293,5
59,0,14,14,j_293,5
167,1,14,13,j_293,5
596,5,14,9,j_293,5
188,1,14,13,j_293,5
199,1,14,13,j_293,5
104,0,14,14,j_293,5
223,2,15,13,j_293,5
225,2,15,13,j_293,5
226,2,15,13,j_293,5
227,2,15,13,j_293,5
228,2,15,13,j_293,5
229,2,15,13,j_293,5
273,2,15,13,j_293,5
274,2,15,13,j_293,5
275,2,15,13,j_293,5
152,1,15,14,j_293,5
679,6,15,9,j_293,5
680,6,15,9,j_293,5
286,2,15,13,j_293,5
288,2,15,13,j_293,5
290,2,15,13,j_293,5
690,6,15,9,j_293,5
302,2,15,13,j_293,5
306,2,15,13,j_293,5
697,6,15,9,j_293,5
202,1,15,14,j_293,5
203,1,15,14,j_293,5
250,2,16,14,j_293,5
251,2,16,14,j_293,5
134,1,16,15,j_293,5
38,0,16,16,j_293,5
41,0,16,16,j_293,5
46,0,16,16,j_293,5
363,3,16,13,j_293,5
276,2,16,14,j_293,5
775,7,16,9,j_293,5
779,7,16,9,j_293,5
780,7,16,9,j_293,5
386,3,16,13,j_293,5
389,3,16,13,j_293,5
390,3,16,13,j_293,5
788,7,16,9,j_293,5
790,7,16,9,j_293,5
319,2,16,14,j_293,5
433,4,17,13,j_293,5
434,4,17,13,j_293,5
436,4,17,13,j_293,5
344,3,17,14,j_293,5
345,3,17,14,j_293,5
263,2,17,15,j_293,5
265,2,17,15,j_293,5
372,3,17,14,j_293,5
157,1,17,16,j_293,5
161,1,17,16,j_293,5
508,4,17,13,j_293,5
518,4,17,13,j_293,5
519,4,17,13,j_293,5
449,4,18,14,j_293,5
453,4,18,14,j_293,5
355,3,18,15,j_293,5
268,2,18,16,j_293,5
576,5,18,13,j_293,5
980,9,18,9,j_293,5
521,4,18,14,j_293,5
206,2,19,17,j_293,5
624,6,19,13,j_293,5
544,5,19,14,j_293,5
548,5,19,14,j_293,5
549,5,19,14,j_293,5
550,5,19,14,j_293,5
32,0,19,19,j_293,5
664,6,19,13,j_293,5
1041,10,19,9,j_293,5
1042,10,19,9,j_293,5
684,6,19,13,j_293,5
884,8,19,11,j_293,5
693,6,19,13,j_293,5
1060,10,19,9,j_293,5
804,7,19,12,j_293,5
611,5,19,14,j_293,5
245,2,20,18,j_293,5
639,6,20,14,j_293,5
556,5,20,15,j_293,5
471,4,20,16,j_293,5
761,7,20,13,j_293,5
764,7,20,13,j_293,5
671,6,20,14,j_293,5
1128,11,20,9,j_293,5
1131,11,20,9,j_293,5
67,0,20,20,j_293,5
782,7,20,13,j_293,5
784,7,20,13,j_293,5
972,9,20,11,j_293,5
1147,11,20,9,j_293,5
703,6,20,14,j_293,5
704,6,20,14,j_293,5
219,2,21,19,j_293,5
220,2,21,19,j_293,5
719,7,21,14,j_293,5
733,7,21,14,j_293,5
254,2,21,19,j_293,5
650,6,21,15,j_293,5
651,6,21,15,j_293,5
653,6,21,15,j_293,5
562,5,21,16,j_293,5
654,6,21,15,j_293,5
858,8,21,13,j_293,5
768,7,21,14,j_293,5
73,0,21,21,j_66,5
1237,12,21,9,j_293,5
1238,12,21,9,j_293,5
1241,12,21,9,j_293,5
890,8,21,13,j_293,5
892,8,21,13,j_293,5
95,0,21,21,j_66,5
100,0,21,21,j_66,5
808,7,21,14,j_293,5
810,7,21,14,j_293,5
524,5,22,17,j_293,5
525,5,22,17,j_293,5
9,0,22,22,j_293,5
323,3,22,19,j_293,5
126,1,22,21,j_293,5
447,4,22,18,j_293,5
36,0,22,22,j_66,5
141,1,22,21,j_66,5
565,5,22,17,j_293,5
866,8,22,14,j_293,5
674,6,22,16,j_293,5
677,6,22,16,j_293,5
171,1,22,21,j_66,5
