wf_id,start_time,finish_time,exec_time,wf_type,edge_num,arrival_rate,func_exp_time,func_type_num,max_cache_num
59,0,25,25,j_66,20,5,100,20,3
63,0,25,25,j_66,20,5,100,20,3
69,0,25,25,j_66,20,5,100,20,3
204,5,25,20,j_66,20,5,100,20,3
97,0,25,25,j_66,20,5,100,20,3
99,0,25,25,j_66,20,5,100,20,3
131,5,30,25,j_66,20,5,100,20,3
133,5,30,25,j_66,20,5,100,20,3
144,5,30,25,j_66,20,5,100,20,3
159,5,30,25,j_66,20,5,100,20,3
166,5,30,25,j_66,20,5,100,20,3
169,5,30,25,j_66,20,5,100,20,3
186,5,30,25,j_66,20,5,100,20,3
189,5,30,25,j_66,20,5,100,20,3
196,5,30,25,j_66,20,5,100,20,3
197,5,30,25,j_66,20,5,100,20,3
294,10,30,20,j_66,20,5,100,20,3
210,5,30,25,j_66,20,5,100,20,3
250,10,35,25,j_66,20,5,100,20,3
254,10,35,25,j_66,20,5,100,20,3
258,10,35,25,j_66,20,5,100,20,3
264,10,35,25,j_66,20,5,100,20,3
265,10,35,25,j_66,20,5,100,20,3
271,10,35,25,j_66,20,5,100,20,3
277,10,35,25,j_66,20,5,100,20,3
280,10,35,25,j_66,20,5,100,20,3
288,10,35,25,j_66,20,5,100,20,3
405,15,35,20,j_66,20,5,100,20,3
299,10,35,25,j_66,20,5,100,20,3
104,5,40,35,j_66,20,5,100,20,3
330,15,40,25,j_66,20,5,100,20,3
331,15,40,25,j_66,20,5,100,20,3
351,15,40,25,j_66,20,5,100,20,3
364,15,40,25,j_66,20,5,100,20,3
365,15,40,25,j_66,20,5,100,20,3
369,15,40,25,j_66,20,5,100,20,3
370,15,40,25,j_66,20,5,100,20,3
371,15,40,25,j_66,20,5,100,20,3
380,15,40,25,j_66,20,5,100,20,3
382,15,40,25,j_66,20,5,100,20,3
387,15,40,25,j_66,20,5,100,20,3
396,15,40,25,j_66,20,5,100,20,3
203,5,40,35,j_293,20,5,100,20,3
205,5,40,35,j_293,20,5,100,20,3
207,5,40,35,j_293,20,5,100,20,3
409,15,40,25,j_66,20,5,100,20,3
